EventID,Start_Time,End_Time,Year,Month,Facility_Code,Participant_Code,Status,Outage_Reason,Energy_Lost_MW,Description_Of_Outage,
1,2017-12-28 6:00,2017-12-28 10:00,2017,12,DNHR_DENMARK_WF1,DNHR,Approved,Consequential,1.44,a network outage in Denmark caused the windfarm to trip at 6:26 am,
2,2017-12-26 9:00,2017-12-27 0:00,2017,12,COLLGAR_WF1,COLLGAR,Approved,Forced,30,Forced Outage - BS on Overhead line pole S-81 - CG10/11,
3,2017-12-31 9:00,2017-12-31 9:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,5.703,Under generation - ambient conditions,
4,2017-12-31 8:30,2017-12-31 8:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,5.085,Under generation - ambient conditions,
5,2017-12-31 8:00,2017-12-31 8:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,5.02,Under generation - ambient conditions,
6,2017-12-30 23:30,2017-12-30 23:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,5.79,Under generation - ambient conditions,
7,2017-12-30 23:00,2017-12-30 23:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,5.412,Under generation - ambient conditions,
8,2017-12-30 22:30,2017-12-30 22:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,4.735,Under generation - ambient conditions,
9,2017-12-29 23:30,2017-12-29 23:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,4.245,Under generation - ambient conditions,
10,2017-12-29 23:00,2017-12-29 23:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,3.962,Under generation - ambient conditions,
11,2017-12-29 22:30,2017-12-29 22:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,4.036,Under generation - ambient conditions,
12,2017-12-28 5:00,2017-12-28 5:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,4.472,Under generation - ambient conditions,
13,2017-12-28 4:30,2017-12-28 4:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,4.112,Under generation - ambient conditions,
14,2017-12-27 5:30,2017-12-27 5:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,4.088,Under generation - ambient conditions,
15,2017-12-27 5:00,2017-12-27 5:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,3.414,Under generation - ambient conditions,
16,2017-12-27 4:30,2017-12-27 4:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,3.594,Under generation - ambient conditions,
17,2017-12-30 18:30,2017-12-30 18:30,2017,12,MELK_G7,MELK,Approved,Forced,4,Boiler feedpump capacity,
18,2017-12-30 17:30,2017-12-30 18:30,2017,12,MELK_G7,MELK,Approved,Forced,4.721,Rotary Air Heater seals,
