Description_Of_Outage,Total_Energy_Lost,Facility_Code,Participant_Code,rank
Full unit trip,6033.9,AURICON_PNJ_U1,AURICON,1
Operational Issues caused real time forced outage.,28687.5,BW1_GREENWATERS_G2,GW,1
Safety Issues,1100.0,MELK_G7,MELK,1
Routine Maintenance,3230.0,AURICON_PNJ_U1,AURICON,2
protection relay testing,936.0,BW1_GREENWATERS_G2,GW,2
Unit trip - loss of ignition at low load,972.2,MELK_G7,MELK,2
Return to service from outage delayed,1573.0,AURICON_PNJ_U1,AURICON,3
FO,833.6,BW1_GREENWATERS_G2,GW,3
Boiler inspection,954.2,MELK_G7,MELK,3
Blade wash,1430.0,AURICON_PNJ_U1,AURICON,4
BW1 annual statutory outage,651.0,BW1_GREENWATERS_G2,GW,4
Weekend Outage,893.7,MELK_G7,MELK,4
unit maximum output was restricted to 100 MW as-generated due to high rotor temperature alarm for safety purposes,1167.7,AURICON_PNJ_U1,AURICON,5
OOM,624.0,BW1_GREENWATERS_G2,GW,5
Boiler Outage,791.0,MELK_G7,MELK,5
WGP U2 vibration issues during start-up sequence.,1140.0,AURICON_PNJ_U1,AURICON,6
FO due to unit trip,473.2,BW1_GREENWATERS_G2,GW,6
Rotary air heater wash,686.5,MELK_G7,MELK,6
MBA TS81 line trip WWF curtailed,1137.4,AURICON_PNJ_U1,AURICON,7
PD testing,468.0,BW1_GREENWATERS_G2,GW,7
Reduced Load to allow for increased CW Temperature / Vacuum ,686.0,MELK_G7,MELK,7
Routine maintenance,950.0,AURICON_PNJ_U1,AURICON,8
"BW1 annual statutory outage.  Full C-Inspection, Boiler Chemical Clean, Blade Feathering.
",434.0,BW1_GREENWATERS_G2,GW,8
Boiler Maintenance,659.9,MELK_G7,MELK,8
Bush fire resulting in faults to transmission lines. Consequential outage to be requested.,760.0,AURICON_PNJ_U1,AURICON,9
ODOM,390.0,BW1_GREENWATERS_G2,GW,9
Pre Summer Outage,622.8,MELK_G7,MELK,9
Unit slow to ramp up.,676.9,AURICON_PNJ_U1,AURICON,10
Unit failed to start,353.6,BW1_GREENWATERS_G2,GW,10
Cooling Tower Tie in,585.0,MELK_G7,MELK,10
Routine Water Wash,666.0,AURICON_PNJ_U1,AURICON,11
Unit tripped,348.4,BW1_GREENWATERS_G2,GW,11
Load Derate,486.0,MELK_G7,MELK,11
general maintenance,624.3,AURICON_PNJ_U1,AURICON,12
Unit 12 minor works,344.0,BW1_GREENWATERS_G2,GW,12
Cooling Tower Outage,454.0,MELK_G7,MELK,12
Unit trip,616.2,AURICON_PNJ_U1,AURICON,13
Common Gas yard outage works,342.0,BW1_GREENWATERS_G2,GW,13
Gas Regulation issue,342.0,BW1_GREENWATERS_G2,GW,13
Governor edits and testing,342.0,BW1_GREENWATERS_G2,GW,13
SCADA outage to add new comms equipment,342.0,BW1_GREENWATERS_G2,GW,13
"To Facilitate WPC outage at Neerabup Terminal (ENAR 254597)
",342.0,BW1_GREENWATERS_G2,GW,13
"To Facilitate WPC outage at Neerabup Terminal (ENAR 254597) - Extension Requested by WPC
",342.0,BW1_GREENWATERS_G2,GW,13
1 Day Outage,438.0,MELK_G7,MELK,13
Western Power Networks outages on the MGA-MBA81 Transmission Line ,583.7,AURICON_PNJ_U1,AURICON,14
Boiler Inspection,422.0,MELK_G7,MELK,14
Boiler Repairs,422.0,MELK_G7,MELK,14
Unit MFT/MTR,422.0,MELK_G7,MELK,14
Unit RTS & ramp-up delayed due to reset of overspeed tripping solenoid.,564.5,AURICON_PNJ_U1,AURICON,15
"Wagerup unit 2 trip, control fault",499.6,AURICON_PNJ_U1,AURICON,16
Pinjarra Unit 2 ramping up from an outage,472.2,AURICON_PNJ_U1,AURICON,17
Delayed RTS,416.9,MELK_G7,MELK,17
Limited output due to ambient conditions (High temperature),460.4,AURICON_PNJ_U1,AURICON,18
Boiler Inspection and repairs,411.8,MELK_G7,MELK,18
Delayed Unit RTS.,411.8,MELK_G7,MELK,18
Governor Control Issues.,411.8,MELK_G7,MELK,18
NT91 Transmission Line Trip causing M6 Load Rejection/Trip,411.8,MELK_G7,MELK,18
Turbine Ancillary Equipment Outage,411.8,MELK_G7,MELK,18
Unit MTR.,411.8,MELK_G7,MELK,18
Unit overhaul - Includes dual outage with M5,411.8,MELK_G7,MELK,18
Combustion inspection,429.0,AURICON_PNJ_U1,AURICON,19
Control system maint,313.4,BW1_GREENWATERS_G2,GW,19
Pinjarra Unit 2 tripped due to blade path temperature deviation,420.0,AURICON_PNJ_U1,AURICON,20
Control system upgrade,312.0,BW1_GREENWATERS_G2,GW,20
FSNL,312.0,BW1_GREENWATERS_G2,GW,20
Gas compliance work,312.0,BW1_GREENWATERS_G2,GW,20
Gas tight testing,312.0,BW1_GREENWATERS_G2,GW,20
Transformer HV testing,312.0,BW1_GREENWATERS_G2,GW,20
Transformer testing,312.0,BW1_GREENWATERS_G2,GW,20
Turbine inspection,312.0,BW1_GREENWATERS_G2,GW,20
extension for control system upgrade,312.0,BW1_GREENWATERS_G2,GW,20
inspect fuel nozzles,312.0,BW1_GREENWATERS_G2,GW,20
Unit slow to ramp up,384.4,AURICON_PNJ_U1,AURICON,21
A-inspection outage extended,380.0,AURICON_PNJ_U1,AURICON,22
Compulsory work required by the regulator to upgrade the common gas skid on site.,380.0,AURICON_PNJ_U1,AURICON,22
Isolation valve drop test,380.0,AURICON_PNJ_U1,AURICON,22
"Jacking, control and lube oil maintenance checks",380.0,AURICON_PNJ_U1,AURICON,22
Pre-outage maintenance prior to planned A-inspection outage in July ,380.0,AURICON_PNJ_U1,AURICON,22
Regular routine maintenance,380.0,AURICON_PNJ_U1,AURICON,22
Unit trip due to high combustion pulsation,380.0,AURICON_PNJ_U1,AURICON,22
Full forced outage (pro-rata) due to loss of 330kV line from Shotts.,347.8,MELK_G7,MELK,25
Loss off fire to the boiler resulting in pressure drop,347.3,MELK_G7,MELK,26
Delay in RTS from planned outage,343.2,MELK_G7,MELK,27
Extension to air heater wash outage (#227046 & #227068),343.2,MELK_G7,MELK,27
Extension to air heater wash outage (#227046),343.2,MELK_G7,MELK,27
Forced full outage due to Air Compressor issues,343.2,MELK_G7,MELK,27
Full forced outage due to boiler feed pump trip,343.2,MELK_G7,MELK,27
Full forced outage due to loss of 330kV line from Shotts.,343.2,MELK_G7,MELK,27
Full forced outage due to unit trip.,343.2,MELK_G7,MELK,27
Full forced outage for RAH repairs,343.2,MELK_G7,MELK,27
Full outage for SDCC repairs,343.2,MELK_G7,MELK,27
Full outage for SDCC repairs - early start,343.2,MELK_G7,MELK,27
Major planned outage for inspection and maintenance,343.2,MELK_G7,MELK,27
Planned unit outage for rotary air heater wash and minor repairs,343.2,MELK_G7,MELK,27
Unit trip due to hydraulic fault,343.2,MELK_G7,MELK,27
Unit tripped - LP heater level,343.2,MELK_G7,MELK,27
forced outage due to unit trip,343.2,MELK_G7,MELK,27
WGP GT delayed ramp-up due to start failure.,374.2,AURICON_PNJ_U1,AURICON,29
Annual Statutory Outage.  Boiler and GAH works.,217.0,BW1_GREENWATERS_G2,GW,29
BW1 annual statutory outage.,217.0,BW1_GREENWATERS_G2,GW,29
BW1 inspection and repair.,217.0,BW1_GREENWATERS_G2,GW,29
Gas Air Heater casing leak,217.0,BW1_GREENWATERS_G2,GW,29
Maintenance outage to do repairs on the units gas air heater.,217.0,BW1_GREENWATERS_G2,GW,29
Outage to repair water leak in unit's boiler,217.0,BW1_GREENWATERS_G2,GW,29
Repair turbine MCV.,217.0,BW1_GREENWATERS_G2,GW,29
Repairs turbine MCV,217.0,BW1_GREENWATERS_G2,GW,29
Protective load shed trip,365.0,AURICON_PNJ_U1,AURICON,30
Operational issues caused real time forced outage.,362.4,AURICON_PNJ_U1,AURICON,31
PNJ U1 max output reduced due to ambient conditions.,348.3,AURICON_PNJ_U1,AURICON,32
MGA TS81 line planned outage WWF curtailed,339.4,AURICON_PNJ_U1,AURICON,33
"WGP1 gas control valve erratic, unit offline to reset/restart",312.8,AURICON_PNJ_U1,AURICON,34
Plant failed to reach target due to operational issue.,309.6,AURICON_PNJ_U1,AURICON,35
A 0MW Security Constraint was applied to ALINTA_WWF,309.4,AURICON_PNJ_U1,AURICON,36
HV equipment maintenance coinciding with maintenance of Tx line insulators on MGA - TS 81,308.8,AURICON_PNJ_U1,AURICON,37
"Kemerton_GT12 tripped on start
",213.2,BW1_GREENWATERS_G2,GW,37
"Kemerton_GT12 tripped on start triggering protection which affected Kemerton_GT11
",213.2,BW1_GREENWATERS_G2,GW,37
Unit had problems ramping up and staying to min load,303.8,AURICON_PNJ_U1,AURICON,38
PNJ1 max output reduced due to ambient conditions.,298.5,AURICON_PNJ_U1,AURICON,39
Minor Inspection outages,172.0,BW1_GREENWATERS_G2,GW,39
Output limited due to ambient condition.,296.0,AURICON_PNJ_U1,AURICON,40
One unit On the day outage request ,171.0,BW1_GREENWATERS_G2,GW,40
Opportunistic  outage for 171MW removed,171.0,BW1_GREENWATERS_G2,GW,40
"Ambient temperature, capacity limit",293.8,AURICON_PNJ_U1,AURICON,41
Unit slow to ramp on start up,290.4,AURICON_PNJ_U1,AURICON,42
Forced outage,170.0,BW1_GREENWATERS_G2,GW,42
Temperature related issues on ramp up,339.7,MELK_G7,MELK,42
Late ramp up,287.0,AURICON_PNJ_U1,AURICON,43
Curtailment to 0MW at the request of Western Power,164.0,BW1_GREENWATERS_G2,GW,43
Power station curtailed to 0MW at the request of Western Power,164.0,BW1_GREENWATERS_G2,GW,43
Pressure safety valves testing and certification,164.0,BW1_GREENWATERS_G2,GW,43
FD fan  clean ,320.0,MELK_G7,MELK,43
Partial forced outage due to precip fault,320.0,MELK_G7,MELK,43
Energy Safe WA - Gas Inspector - Isolation Valves.,286.0,AURICON_PNJ_U1,AURICON,44
"Unit is unavailable after tripping on return to service.
",286.0,AURICON_PNJ_U1,AURICON,44
Water Wash,286.0,AURICON_PNJ_U1,AURICON,44
Water wash,286.0,AURICON_PNJ_U1,AURICON,44
Windows 7 Upgrade,286.0,AURICON_PNJ_U1,AURICON,44
Partial forced outage during turbine valve testing,314.3,MELK_G7,MELK,45
Combustion chamber failed to fire.  Protection Shutdown.,156.0,BW1_GREENWATERS_G2,GW,46
Compliance testing,156.0,BW1_GREENWATERS_G2,GW,46
Control System Upgrade,156.0,BW1_GREENWATERS_G2,GW,46
Failed to start,156.0,BW1_GREENWATERS_G2,GW,46
HV maint,156.0,BW1_GREENWATERS_G2,GW,46
HV switching,156.0,BW1_GREENWATERS_G2,GW,46
Relay testing,156.0,BW1_GREENWATERS_G2,GW,46
