Participant_Code,Outage_Reason,Year,Total_Number_Outages,Average_Outage_Duration_In_Days,Risk_Classification
AURICON,Scheduled (Planned),2016,46,1.89,N/A
AURICON,Scheduled (Planned),2017,45,1.45,N/A
AURICON,Opportunistic Maintenance (Planned),2016,3,0.33,N/A
AURICON,Consequential,2017,42,0.21,N/A
AURICON,Consequential,2016,41,0.13,N/A
AURICON,Forced,2017,490,0.07,High Risk
AURICON,Forced,2016,208,0.07,High Risk
AUXC,Scheduled (Planned),2017,1,2.88,N/A
AUXC,Scheduled (Planned),2016,2,1.25,N/A
AUXC,Consequential,2016,1,0.96,N/A
AUXC,Consequential,2017,1,0.1,N/A
AUXC,Forced,2016,206,0.08,High Risk
AUXC,Forced,2017,120,0.02,High Risk
COLLGAR,Scheduled (Planned),2017,9,6.36,N/A
COLLGAR,Scheduled (Planned),2016,12,4.28,N/A
COLLGAR,Forced,2017,45,1.38,High Risk
COLLGAR,Forced,2016,29,1.11,High Risk
COLLGAR,Consequential,2016,12,0.6,N/A
COLLGAR,Opportunistic Maintenance (Planned),2017,5,0.33,N/A
COLLGAR,Consequential,2017,5,0.23,N/A
DNHR,Forced,2017,1,0.48,Low Risk
DNHR,Forced,2016,1,0.4,Low Risk
DNHR,Consequential,2016,11,0.28,N/A
DNHR,Consequential,2017,12,0.24,N/A
ENRG,Scheduled (Planned),2017,37,4.96,N/A
ENRG,Scheduled (Planned),2016,29,4.85,N/A
ENRG,Forced,2016,21,2.24,High Risk
ENRG,Consequential,2016,15,0.57,N/A
ENRG,Opportunistic Maintenance (Planned),2016,4,0.47,N/A
ENRG,Opportunistic Maintenance (Planned),2017,3,0.35,N/A
ENRG,Consequential,2017,7,0.27,N/A
ENRG,Forced,2017,7,0.26,Low Risk
EUCT,Forced,2016,11,5.9,High Risk
EUCT,Consequential,2016,17,0.41,N/A
EUCT,Consequential,2017,14,0.32,N/A
EUCT,Forced,2017,3,0.03,Low Risk
GW,Scheduled (Planned),2016,45,4.43,N/A
GW,Scheduled (Planned),2017,26,2.65,N/A
GW,Forced,2017,227,1.06,High Risk
GW,Forced,2016,317,0.38,High Risk
GW,Opportunistic Maintenance (Planned),2016,20,0.31,N/A
GW,Opportunistic Maintenance (Planned),2017,13,0.28,N/A
GW,Consequential,2017,4,0.24,N/A
GW,Consequential,2016,20,0.18,N/A
KORL,Scheduled (Planned),2016,20,6.96,N/A
