Total_Number_Outages,Total_Duration_In_Days,Total_Energy_Lost,Outage_Reason,Participant_Code,Facility_Code,Year
490,33.65,21639.55,Forced,AURICON,AURICON_PNJ_U1,2017
227,240.69,19326.56,Forced,GW,BW1_GREENWATERS_G2,2017
317,120.6,15751.38,Forced,GW,BW1_GREENWATERS_G2,2016
157,129.6,13771.07,Forced,MELK,MELK_G7,2016
208,15.06,10696.28,Forced,AURICON,AURICON_PNJ_U1,2016
177,404.15,10285.4,Forced,MELK,MELK_G7,2017
85,392.25,9668.79,Scheduled (Planned),MELK,MELK_G7,2016
69,34.06,9093.09,Forced,PMC,PMC_AG,2016
70,482.58,7499.28,Scheduled (Planned),MELK,MELK_G7,2017
46,87.02,6964.8,Scheduled (Planned),AURICON,AURICON_PNJ_U1,2016
45,199.4,6450.0,Scheduled (Planned),GW,BW1_GREENWATERS_G2,2016
45,65.4,5941.25,Scheduled (Planned),AURICON,AURICON_PNJ_U1,2017
81,98.79,5881.52,Forced,PJRH,PJRH_GT11,2016
40,1.56,5648.44,Forced,PMC,PMC_AG,2017
172,71.9,5016.67,Forced,TRMOS,TIWEST_COG1,2017
72,60.13,4839.28,Forced,PJRH,PJRH_GT11,2017
27,51.4,4839.0,Scheduled (Planned),PMC,PMC_AG,2016
76,91.79,4679.68,Forced,KORL,KORL_GT3,2017
29,32.33,4320.86,Forced,COLLGAR,COLLGAR_WF1,2016
135,33.4,4112.1,Forced,PUG,PERTHENERGY_KORL_GT1,2017
53,20.0,4040.32,Forced,KORL,KORL_GT3,2016
41,5.31,3925.55,Consequential,AURICON,AURICON_PNJ_U1,2016
26,68.9,3812.42,Scheduled (Planned),GW,BW1_GREENWATERS_G2,2017
39,9.17,3100.95,Opportunistic Maintenance (Planned),PJRH,PJRH_GT11,2017
20,6.21,2951.0,Opportunistic Maintenance (Planned),GW,BW1_GREENWATERS_G2,2016
24,17.0,2877.04,Opportunistic Maintenance (Planned),MELK,MELK_G7,2016
45,62.1,2787.06,Forced,COLLGAR,COLLGAR_WF1,2017
206,16.04,2734.14,Forced,AUXC,AUXC_WGP,2016
42,8.88,2553.24,Consequential,AURICON,AURICON_PNJ_U1,2017
38,89.9,2445.0,Scheduled (Planned),PJRH,PJRH_GT11,2016
23,4.21,2178.95,Opportunistic Maintenance (Planned),PJRH,PJRH_GT11,2016
12,51.38,2139.87,Scheduled (Planned),COLLGAR,COLLGAR_WF1,2016
35,91.35,2110.01,Scheduled (Planned),PJRH,PJRH_GT11,2017
120,2.1,1768.76,Forced,AUXC,AUXC_WGP,2017
20,139.25,1685.6,Scheduled (Planned),KORL,KORL_GT3,2016
8,28.15,1672.66,Consequential,PMC,PMC_AG,2017
12,20.35,1639.2,Scheduled (Planned),PMC,PMC_AG,2017
9,57.27,1632.78,Scheduled (Planned),COLLGAR,COLLGAR_WF1,2017
7,5.35,1524.82,Consequential,MELK,MELK_G7,2016
13,3.67,1423.53,Opportunistic Maintenance (Planned),GW,BW1_GREENWATERS_G2,2017
12,7.15,1374.0,Consequential,COLLGAR,COLLGAR_WF1,2016
16,10.44,1339.7,Opportunistic Maintenance (Planned),MELK,MELK_G7,2017
16,23.56,1334.0,Scheduled (Planned),PUG,PERTHENERGY_KORL_GT1,2016
16,54.1,1326.6,Scheduled (Planned),KORL,KORL_GT3,2017
65,12.63,1232.43,Forced,TRMOS,TIWEST_COG1,2016
21,47.04,1182.8,Forced,ENRG,ENRG_KALGOORLIE_GT3,2016
14,3.04,1172.05,Opportunistic Maintenance (Planned),KORL,KORL_GT3,2016
11,24.73,1160.0,Scheduled (Planned),PUG,PERTHENERGY_KORL_GT1,2017
5,1.17,926.0,Consequential,COLLGAR,COLLGAR_WF1,2017
10,2.42,842.8,Opportunistic Maintenance (Planned),KORL,KORL_GT3,2017
20,3.6,832.72,Consequential,GW,BW1_GREENWATERS_G2,2016
24,22.17,815.47,Forced,PUG,PERTHENERGY_KORL_GT1,2016
5,1.65,763.96,Opportunistic Maintenance (Planned),COLLGAR,COLLGAR_WF1,2017
28,27.75,678.4,Scheduled (Planned),TSLA_MGT,TESLA_PICTON_G1,2017
18,63.46,664.0,Scheduled (Planned),MUND,MUNDARING_GT1,2016
10,2.81,643.0,Consequential,PMC,PMC_AG,2016
7,1.48,580.0,Opportunistic Maintenance (Planned),PUG,PERTHENERGY_KORL_GT1,2016
12,3.4,563.33,Forced,MCG,MWF_MUMBIDA_WF1,2017
3,0.98,523.0,Opportunistic Maintenance (Planned),AURICON,AURICON_PNJ_U1,2016
37,183.58,516.92,Scheduled (Planned),ENRG,ENRG_KALGOORLIE_GT3,2017
6,13.42,505.95,Consequential,KORL,KORL_GT3,2017
23,45.25,448.8,Scheduled (Planned),TSLA_MGT,TESLA_PICTON_G1,2016
29,140.6,445.6,Scheduled (Planned),ENRG,ENRG_KALGOORLIE_GT3,2016
15,2.85,398.58,Forced,MUND,MUNDARING_GT1,2017
3,0.71,348.0,Opportunistic Maintenance (Planned),PUG,PERTHENERGY_KORL_GT1,2017
9,1.9,335.86,Opportunistic Maintenance (Planned),MUND,MUNDARING_GT1,2017
1,0.08,335.0,Opportunistic Maintenance (Planned),PMC,PMC_AG,2016
