Avg_Duration_In_Days,Avg_Energy_Lost,Outage_Reason,Participant_Code,Facility_Code,Year
1.11,149.0,Forced,COLLGAR,COLLGAR_WF1,2016
0.04,141.21,Forced,PMC,PMC_AG,2017
0.49,131.78,Forced,PMC,PMC_AG,2016
0.83,87.71,Forced,MELK,MELK_G7,2016
1.06,85.14,Forced,GW,BW1_GREENWATERS_G2,2017
0.25,80.0,Forced,TSLA_MGT,TESLA_PICTON_G1,2016
0.38,76.23,Forced,KORL,KORL_GT3,2016
1.22,72.61,Forced,PJRH,PJRH_GT11,2016
0.84,67.21,Forced,PJRH,PJRH_GT11,2017
1.38,61.93,Forced,COLLGAR,COLLGAR_WF1,2017
1.21,61.57,Forced,KORL,KORL_GT3,2017
2.28,58.11,Forced,MELK,MELK_G7,2017
2.24,56.32,Forced,ENRG,ENRG_KALGOORLIE_GT3,2016
0.79,55.0,Forced,MCG,MWF_MUMBIDA_WF1,2016
0.07,51.42,Forced,AURICON,AURICON_PNJ_U1,2016
0.38,49.69,Forced,GW,BW1_GREENWATERS_G2,2016
0.28,46.94,Forced,MCG,MWF_MUMBIDA_WF1,2017
0.07,44.16,Forced,AURICON,AURICON_PNJ_U1,2017
0.31,42.48,Forced,TSLA_MGT,TESLA_PICTON_G1,2017
0.37,36.8,Forced,MUND,MUNDARING_GT1,2016
0.92,33.98,Forced,PUG,PERTHENERGY_KORL_GT1,2016
0.25,30.46,Forced,PUG,PERTHENERGY_KORL_GT1,2017
0.42,29.17,Forced,TRMOS,TIWEST_COG1,2017
3.44,27.66,Forced,WGUTD,WEST_KALGOORLIE_GT2,2017
0.26,27.41,Forced,ENRG,ENRG_KALGOORLIE_GT3,2017
0.02,27.0,Forced,WGUTD,WEST_KALGOORLIE_GT2,2016
0.19,26.57,Forced,MUND,MUNDARING_GT1,2017
0.33,23.0,Forced,STHRNCRS,STHRNCRS_EG,2016
0.03,21.6,Forced,EUCT,GRASMERE_WF1,2017
0.19,18.96,Forced,TRMOS,TIWEST_COG1,2016
0.26,16.26,Forced,STHRNCRS,STHRNCRS_EG,2017
0.02,14.74,Forced,AUXC,AUXC_WGP,2017
0.08,13.27,Forced,AUXC,AUXC_WGP,2016
5.9,5.89,Forced,EUCT,GRASMERE_WF1,2016
0.4,1.44,Forced,DNHR,DNHR_DENMARK_WF1,2016
0.48,1.44,Forced,DNHR,DNHR_DENMARK_WF1,2017
