Avg_Energy_Lost,Total_Energy_Lost,Pct_Energy_Lost,Outage_Reason,Participant_Code,Facility_Code,Year
1.44,1.44,0.0,Forced,DNHR,DNHR_DENMARK_WF1,2016
1.44,1.44,0.0,Forced,DNHR,DNHR_DENMARK_WF1,2017
27.0,54.0,0.04,Forced,WGUTD,WEST_KALGOORLIE_GT2,2016
55.0,55.0,0.04,Forced,MCG,MWF_MUMBIDA_WF1,2016
5.89,64.8,0.04,Forced,EUCT,GRASMERE_WF1,2016
21.6,64.8,0.04,Forced,EUCT,GRASMERE_WF1,2017
36.8,147.2,0.1,Forced,MUND,MUNDARING_GT1,2016
80.0,160.0,0.11,Forced,TSLA_MGT,TESLA_PICTON_G1,2016
42.48,169.9,0.11,Forced,TSLA_MGT,TESLA_PICTON_G1,2017
27.41,191.86,0.13,Forced,ENRG,ENRG_KALGOORLIE_GT3,2017
27.66,221.29,0.15,Forced,WGUTD,WEST_KALGOORLIE_GT2,2017
16.26,292.7,0.19,Forced,STHRNCRS,STHRNCRS_EG,2017
23.0,299.0,0.2,Forced,STHRNCRS,STHRNCRS_EG,2016
26.57,398.58,0.26,Forced,MUND,MUNDARING_GT1,2017
46.94,563.33,0.37,Forced,MCG,MWF_MUMBIDA_WF1,2017
33.98,815.47,0.54,Forced,PUG,PERTHENERGY_KORL_GT1,2016
56.32,1182.8,0.78,Forced,ENRG,ENRG_KALGOORLIE_GT3,2016
18.96,1232.43,0.81,Forced,TRMOS,TIWEST_COG1,2016
14.74,1768.76,1.16,Forced,AUXC,AUXC_WGP,2017
13.27,2734.14,1.8,Forced,AUXC,AUXC_WGP,2016
61.93,2787.06,1.83,Forced,COLLGAR,COLLGAR_WF1,2017
76.23,4040.32,2.65,Forced,KORL,KORL_GT3,2016
30.46,4112.1,2.7,Forced,PUG,PERTHENERGY_KORL_GT1,2017
149.0,4320.86,2.84,Forced,COLLGAR,COLLGAR_WF1,2016
61.57,4679.68,3.07,Forced,KORL,KORL_GT3,2017
67.21,4839.28,3.18,Forced,PJRH,PJRH_GT11,2017
29.17,5016.67,3.29,Forced,TRMOS,TIWEST_COG1,2017
141.21,5648.44,3.71,Forced,PMC,PMC_AG,2017
72.61,5881.52,3.86,Forced,PJRH,PJRH_GT11,2016
131.78,9093.09,5.97,Forced,PMC,PMC_AG,2016
58.11,10285.4,6.75,Forced,MELK,MELK_G7,2017
51.42,10696.28,7.02,Forced,AURICON,AURICON_PNJ_U1,2016
87.71,13771.07,9.04,Forced,MELK,MELK_G7,2016
49.69,15751.38,10.34,Forced,GW,BW1_GREENWATERS_G2,2016
85.14,19326.56,12.69,Forced,GW,BW1_GREENWATERS_G2,2017
44.16,21639.55,14.21,Forced,AURICON,AURICON_PNJ_U1,2017
